2017/18,Feb-18,Southern,Daisy Hill,Type 1,2910,"1,152.00",120,4182
2017/18,Feb-18,Southern,South Tyrone,Type 3,2426,2,0,2428
2017/18,Feb-18,Western,Altnagelvin Area,Type 1,3183,"1,572.00",157,4912
2017/18,Feb-18,Western,South West Acute,Type 1,1605,978,33,2616
2017/18,Feb-18,Western,Tyrone County,Type 3,1176,4,0,1180
2017/18,Mar-18,Belfast,Mater,Type 1,2603,"1,352.00",255,4210
2017/18,Mar-18,Belfast,Royal Victoria,Type 1,4124,"3,609.00",527,8260
2017/18,Mar-18,Belfast,RBHSC,Type 1,2461,"1,031.00",0,3492
2017/18,Mar-18,Belfast,Royal Victoria (RAES),Type 2,1216,210,0,1426
2017/18,Mar-18,Northern,Antrim Area,Type 1,4369,"2,624.00",365,7358
2017/18,Mar-18,Northern,Causeway,Type 1,2616,"1,141.00",198,3955
2017/18,Mar-18,Northern,Mid-Ulster,Type 3,869,0,0,869
2017/18,Mar-18,South Eastern,Ards MIU,Type 3,1001,0,0,1001
2017/18,Mar-18,South Eastern,Bangor MIU,Type 3,803,0,0,803
2017/18,Mar-18,South Eastern,Downe,Type 2,1743,198,65,2006
2017/18,Mar-18,South Eastern,Lagan Valley,Type 2,1708,480,57,2245
2017/18,Mar-18,South Eastern,Ulster,Type 1,4557,"2,823.00",726,8106
2017/18,Mar-18,Southern,Craigavon Area,Type 1,3967,"2,902.00",538,7407
2017/18,Mar-18,Southern,Daisy Hill,Type 1,3139,"1,450.00",146,4735
2017/18,Mar-18,Southern,South Tyrone,Type 3,2597,1,0,2598
2017/18,Mar-18,Western,Altnagelvin Area,Type 1,3820,"1,838.00",140,5798
2017/18,Mar-18,Western,South West Acute,Type 1,1809,"1,151.00",149,3109
2017/18,Mar-18,Western,Tyrone County,Type 3,1427,34,0,1461
2018/19,Apr-18,Belfast,Mater,Type 1,2727,"1,127.00",120,3974
2018/19,Apr-18,Belfast,Royal Victoria,Type 1,4429,"3,120.00",174,7723
2018/19,Apr-18,Belfast,RBHSC,Type 1,2564,636,0,3200
2018/19,Apr-18,Belfast,Royal Victoria (RAES),Type 2,1164,203,2,1369
2018/19,Apr-18,Northern,Antrim Area,Type 1,4449,"2,130.00",269,6848
2018/19,Apr-18,Northern,Causeway,Type 1,2881,953,63,3897
2018/19,Apr-18,Northern,Mid-Ulster,Type 3,875,0,0,875
2018/19,Apr-18,South Eastern,Ards MIU,Type 3,1006,0,0,1006
2018/19,Apr-18,South Eastern,Bangor MIU,Type 3,900,0,0,900
2018/19,Apr-18,South Eastern,Downe,Type 2,1701,126,6,1833
2018/19,Apr-18,South Eastern,Lagan Valley,Type 2,1681,341,20,2042
2018/19,Apr-18,South Eastern,Ulster,Type 1,4799,"2,464.00",436,7699
2018/19,Apr-18,Southern,Craigavon Area,Type 1,4456,"2,551.00",166,7173
2018/19,Apr-18,Southern,Daisy Hill,Type 1,3501,"1,205.00",71,4777
2018/19,Apr-18,Southern,South Tyrone,Type 3,2936,0,0,2936
2018/19,Apr-18,Western,Altnagelvin Area,Type 1,3754,"1,634.00",45,5433
2018/19,Apr-18,Western,South West Acute,Type 1,2006,882,38,2926
2018/19,Apr-18,Western,Tyrone County,Type 3,1531,26,0,1557
2018/19,May-18,Belfast,Mater,Type 1,2975,"1,192.00",92,4259
2018/19,May-18,Belfast,Royal Victoria,Type 1,4788,"3,184.00",155,8127
2018/19,May-18,Belfast,RBHSC,Type 1,2868,785,0,3653
2018/19,May-18,Belfast,Royal Victoria (RAES),Type 2,1145,294,3,1442
2018/19,May-18,Northern,Antrim Area,Type 1,5241,"2,272.00",137,7650
2018/19,May-18,Northern,Causeway,Type 1,3072,"1,224.00",36,4332
2018/19,May-18,Northern,Mid-Ulster,Type 3,991,0,0,991
2018/19,May-18,South Eastern,Ards MIU,Type 3,1098,0,0,1098
2018/19,May-18,South Eastern,Bangor MIU,Type 3,970,0,0,970
2018/19,May-18,South Eastern,Downe,Type 2,1955,145,14,2114
2018/19,May-18,South Eastern,Lagan Valley,Type 2,2016,292,0,2308
2018/19,May-18,South Eastern,Ulster,Type 1,5298,"2,625.00",450,8373
2018/19,May-18,Southern,Craigavon Area,Type 1,4817,"2,687.00",208,7712
2018/19,May-18,Southern,Daisy Hill,Type 1,3718,"1,372.00",32,5122
2018/19,May-18,Southern,South Tyrone,Type 3,3329,1,0,3330
2018/19,May-18,Western,Altnagelvin Area,Type 1,4648,"1,313.00",12,5973
2018/19,May-18,Western,South West Acute,Type 1,2320,860,17,3197
2018/19,May-18,Western,Tyrone County,Type 3,1817,26,0,1843
2018/19,Jun-18,Belfast,Mater,Type 1,2968,"1,002.00",59,4029
2018/19,Jun-18,Belfast,Royal Victoria,Type 1,4708,"2,997.00",107,7812
2018/19,Jun-18,Belfast,RBHSC,Type 1,2704,504,0,3208
2018/19,Jun-18,Belfast,Royal Victoria (RAES),Type 2,997,460,0,1457
2018/19,Jun-18,Northern,Antrim Area,Type 1,4761,"2,353.00",165,7279
2018/19,Jun-18,Northern,Causeway,Type 1,2915,967,127,4009
2018/19,Jun-18,Northern,Mid-Ulster,Type 3,943,1,0,944
2018/19,Jun-18,South Eastern,Ards MIU,Type 3,1131,0,0,1131
2018/19,Jun-18,South Eastern,Bangor MIU,Type 3,1011,0,0,1011
2018/19,Jun-18,South Eastern,Downe,Type 2,1889,124,1,2014
2018/19,Jun-18,South Eastern,Lagan Valley,Type 2,1915,327,0,2242
2018/19,Jun-18,South Eastern,Ulster,Type 1,5104,"2,524.00",550,8178
2018/19,Jun-18,Southern,Craigavon Area,Type 1,4459,"2,738.00",268,7465
2018/19,Jun-18,Southern,Daisy Hill,Type 1,3736,"1,340.00",18,5094
2018/19,Jun-18,Southern,South Tyrone,Type 3,3389,0,0,3389
2018/19,Jun-18,Western,Altnagelvin Area,Type 1,4394,"1,287.00",36,5717
2018/19,Jun-18,Western,South West Acute,Type 1,2130,967,27,3124
2018/19,Jun-18,Western,Tyrone County,Type 3,1667,30,0,1697
